,Time (µs),Radius (nm)
508,5.08,7.8023643
509,5.09,7.748932
510,5.1,7.8095284
511,5.11,7.805932
512,5.12,7.845394
513,5.13,7.6970205
514,5.14,7.7146697
515,5.15,7.655957
516,5.16,7.529418
517,5.17,7.674277
518,5.18,7.661557
519,5.19,7.5067053
520,5.2,7.67542
521,5.21,7.532
522,5.22,7.6943398
523,5.23,7.7120504
524,5.24,7.708558
525,5.25,7.7228203
526,5.26,7.918705
527,5.27,7.7026377
528,5.28,7.613443
529,5.29,7.6360793
530,5.3,7.7021585
531,5.31,7.770654
532,5.32,7.6461473
533,5.33,7.6950746
534,5.34,7.553683
535,5.35,7.586145
536,5.36,7.781644
537,5.37,7.8015776
538,5.38,7.913028
539,5.39,7.737189
540,5.4,7.5820045
541,5.41,7.6330996
542,5.42,7.494237
543,5.43,7.720717
544,5.44,7.5591955
545,5.45,7.6199927
546,5.46,7.6329584
547,5.47,7.6909866
548,5.48,7.9115334
549,5.49,7.6821012
550,5.5,7.737462
551,5.51,7.860865
552,5.52,7.843923
553,5.53,7.922843
554,5.54,7.701812
555,5.55,7.72909
556,5.56,7.784533
557,5.57,7.813855
558,5.58,7.754612
559,5.59,7.644902
560,5.6,7.530341
561,5.61,7.595206
562,5.62,7.6382723
563,5.63,7.807715
564,5.64,7.75855
565,5.65,7.6744986
566,5.66,7.80939
567,5.67,7.865177
568,5.68,7.719365
569,5.69,7.6127357
570,5.7,7.6384573
571,5.71,7.82195
572,5.72,7.8834596
573,5.73,7.6803956
574,5.74,7.9235826
575,5.75,7.6156797
576,5.76,7.6713753
577,5.77,7.727179
578,5.78,7.6877418
579,5.79,7.7593346
580,5.8,7.7664657
581,5.81,7.7140512
582,5.82,7.7149253
583,5.83,7.7953234
584,5.84,7.8529067
585,5.85,7.66242
586,5.86,7.678485
587,5.87,7.73937
588,5.88,7.7641625
589,5.89,7.604323
590,5.9,7.623267
591,5.91,7.6752825
592,5.92,7.6419344
593,5.93,7.5844026
594,5.94,7.6334724
595,5.95,7.695048
596,5.96,7.6144705
597,5.97,7.687597
598,5.98,7.729833
599,5.99,7.5529222
600,6.0,7.6772623
601,6.01,7.93295
602,6.02,7.872905
603,6.03,7.6814995
604,6.04,7.739647
605,6.05,7.6989985
606,6.06,7.712232
607,6.07,7.5870566
608,6.08,7.58593
609,6.09,7.5698347
610,6.1,7.5560913
611,6.11,7.9128523
612,6.12,7.564093
613,6.13,7.6058245
614,6.14,7.738183
615,6.15,7.8651266
616,6.16,7.762159
617,6.17,7.7713785
618,6.18,7.7330337
619,6.19,7.8589835
620,6.2,7.5812807
621,6.21,7.7697854
622,6.22,7.6747704
623,6.23,7.542875
624,6.24,7.616664
625,6.25,7.600895
626,6.26,7.64841
627,6.27,7.7035103
628,6.28,7.756701
629,6.29,7.622934
630,6.3,7.637243
631,6.31,7.6858625
632,6.32,7.7680106
633,6.33,7.6947875
634,6.34,7.869517
635,6.35,7.896094
636,6.36,7.7804804
637,6.37,7.54547
638,6.38,7.5753317
639,6.39,7.659978
640,6.4,7.5689306
641,6.41,7.614839
642,6.42,7.69804
643,6.43,7.665283
644,6.44,7.7806244
645,6.45,7.7620773
646,6.46,7.744859
647,6.47,7.93375
648,6.48,7.7457848
649,6.49,7.710398
650,6.5,7.614005
651,6.51,7.834761
652,6.52,7.821481
653,6.53,7.8010798
654,6.54,7.8686156
655,6.55,7.7865868
656,6.56,7.7789373
657,6.57,7.7728057
658,6.58,7.7013907
659,6.59,7.65103
660,6.6,7.619178
661,6.61,7.6217957
662,6.62,7.5566278
663,6.63,7.653676
664,6.64,7.6524057
665,6.65,7.551534
666,6.66,7.723939
667,6.67,7.568058
668,6.68,7.589637
669,6.69,7.482665
670,6.7,7.531527
671,6.71,7.6387777
672,6.72,7.655436
673,6.73,7.747213
674,6.74,7.768059
675,6.75,7.87239
676,6.76,7.7179384
677,6.77,7.737082
678,6.78,7.7753725
679,6.79,7.7186065
680,6.8,7.91466
681,6.81,7.704665
682,6.82,7.709952
683,6.83,7.7241693
684,6.84,7.652438
685,6.85,7.552655
686,6.86,7.4834166
687,6.87,7.6382422
688,6.88,7.799563
689,6.89,7.649249
690,6.9,7.735489
691,6.91,7.7389174
692,6.92,7.9044085
693,6.93,7.827384
694,6.94,7.860784
695,6.95,8.01893
696,6.96,7.8444033
697,6.97,7.760122
698,6.98,7.786888
699,6.99,7.624813
700,7.0,7.7482123
701,7.01,7.852212
702,7.02,7.7878327
703,7.03,7.5873957
704,7.04,7.746595
705,7.05,7.6556067
706,7.06,7.753394
707,7.07,7.892389
708,7.08,7.524183
709,7.09,7.7168756
710,7.1,7.737919
711,7.11,7.790859
712,7.12,7.6414886
713,7.13,7.7468123
714,7.14,7.707022
715,7.15,7.7600393
716,7.16,7.6322403
717,7.17,7.5592537
718,7.18,7.4990807
719,7.19,7.5631113
720,7.2,7.613547
