,POPC Outer,POPC Inner,POPE Outer,POPE Inner
515,2817,2499,2730,2600
516,2797,2519,2736,2594
517,2811,2505,2739,2591
518,2833,2483,2732,2598
519,2801,2515,2706,2624
520,2870,2446,2723,2607
521,2792,2524,2736,2594
522,2829,2487,2694,2636
523,2799,2517,2671,2659
524,2828,2488,2723,2607
525,2805,2511,2720,2610
526,2777,2539,2739,2591
527,2742,2574,2687,2643
528,2801,2515,2718,2612
529,2845,2471,2732,2598
530,2855,2461,2750,2580
531,2829,2487,2739,2591
532,2792,2524,2733,2597
533,2856,2460,2710,2620
534,2811,2505,2729,2601
535,2862,2454,2701,2629
536,2795,2521,2733,2597
537,2829,2487,2747,2583
538,2811,2505,2674,2656
539,2820,2496,2707,2623
540,2795,2521,2706,2624
541,2814,2502,2756,2574
542,2815,2501,2726,2604
543,2817,2499,2729,2601
544,2848,2468,2688,2642
545,2853,2463,2735,2595
546,2822,2494,2741,2589
547,2800,2516,2695,2635
548,2797,2519,2722,2608
549,2794,2522,2726,2604
550,2835,2481,2705,2625
551,2821,2495,2727,2603
552,2819,2497,2759,2571
553,2767,2549,2701,2629
554,2812,2504,2754,2576
555,2847,2469,2742,2588
556,2861,2455,2745,2585
557,2823,2493,2719,2611
558,2843,2473,2737,2593
559,2797,2519,2739,2591
560,2840,2476,2714,2616
561,2860,2456,2744,2586
562,2801,2515,2767,2563
563,2783,2533,2699,2631
564,2878,2438,2713,2617
565,2768,2548,2702,2628
566,2830,2486,2745,2585
567,2793,2523,2726,2604
568,2800,2516,2691,2639
569,2787,2529,2688,2642
570,2804,2512,2675,2655
571,2811,2505,2679,2651
572,2800,2516,2705,2625
573,2859,2457,2729,2601
574,2817,2499,2717,2613
575,2815,2501,2759,2571
576,2844,2472,2701,2629
577,2805,2511,2728,2602
578,2812,2504,2714,2616
579,2815,2501,2741,2589
580,2842,2474,2754,2576
581,2838,2478,2734,2596
582,2838,2478,2767,2563
583,2821,2495,2770,2560
584,2842,2474,2733,2597
585,2816,2500,2756,2574
586,2868,2448,2722,2608
587,2805,2511,2744,2586
588,2824,2492,2774,2556
589,2811,2505,2735,2595
590,2792,2524,2756,2574
591,2817,2499,2711,2619
592,2806,2510,2745,2585
593,2799,2517,2748,2582
594,2810,2506,2730,2600
595,2822,2494,2705,2625
596,2853,2463,2769,2561
597,2826,2490,2767,2563
598,2810,2506,2703,2627
599,2784,2532,2753,2577
600,2789,2527,2752,2578
601,2828,2488,2728,2602
602,2800,2516,2743,2587
603,2798,2518,2750,2580
604,2822,2494,2756,2574
605,2755,2561,2752,2578
606,2795,2521,2761,2569
607,2810,2506,2730,2600
608,2805,2511,2725,2605
609,2769,2547,2738,2592
610,2844,2472,2743,2587
611,2789,2527,2738,2592
612,2813,2503,2772,2558
613,2801,2515,2734,2596
614,2757,2559,2701,2629
615,2808,2508,2753,2577
616,2814,2502,2736,2594
617,2857,2459,2756,2574
618,2814,2502,2702,2628
619,2809,2507,2747,2583
620,2769,2547,2750,2580
621,2798,2518,2706,2624
622,2796,2520,2736,2594
623,2804,2512,2743,2587
624,2823,2493,2767,2563
625,2806,2510,2729,2601
626,2782,2534,2742,2588
627,2768,2548,2760,2570
628,2790,2526,2709,2621
629,2765,2551,2786,2544
630,2796,2520,2741,2589
631,2813,2503,2748,2582
632,2785,2531,2700,2630
